0,-6.71E-06,2.4958,-1.1345,-7.88E-21,-4.9407e-321,3.91E-29,-0.081623,-0.40812,-0.30609,-269.25,-113.2,3.5918,1.5786,-9.90E-19,-6.2103e-319,4.92E-27
0.01,-6.71E-06,2.4958,-1.1345,-2.26E-21,-4.9407e-321,2.63E-31,-0.037411,-0.37241,-0.26698,-270.91,-116.05,1.4585,-1.7398,4.25E-19,-1.7669e-319,-1.38E-27
0.02,-6.71E-06,2.4958,-1.1345,-6.47E-22,-4.9407e-321,1.76E-33,-0.066319,-0.40302,-0.31459,-269.25,-112.97,3.5918,0.86753,3.23E-19,-4.9906e-320,-4.12E-28
0.03,-6.71E-06,2.4958,-1.1345,-1.85E-22,-4.9407e-321,1.18E-35,-0.06802,-0.43703,-0.28398,-269.97,-114.39,1.6956,-0.08059,1.50E-19,-1.3943e-320,-1.17E-28
0.04,-6.71E-06,2.4958,-1.1345,-5.31E-23,-4.9407e-321,-0.0052709,-0.052715,-0.40472,-0.30779,-269.97,-114.15,3.1177,0.86753,5.93E-20,-3.582e-321,-0.37708
0.05,-6.71E-06,2.4958,-1.1345,-1.52E-23,-4.9407e-321,0.00032526,-0.088425,-0.42342,-0.29589,-269.25,-114.15,2.4066,-0.08059,2.16E-20,-1.1413e-321,0.29303
0.06,-6.71E-06,2.4958,-1.1345,-4.36E-24,-4.9407e-321,2.18E-06,-0.078222,-0.42682,-0.27378,-265.94,-108.94,7.3843,6.0822,7.52E-21,7.9051e-323,0.060285
0.07,-6.71E-06,2.4958,-1.1345,-1.25E-24,-4.9407e-321,1.47E-08,-0.091826,-0.43192,-0.28738,-271.86,-116.99,-0.43771,-2.4509,2.53E-21,7.9051e-323,0.017003
0.08,-6.71E-06,2.4958,-1.1345,-3.58E-25,-4.9407e-321,9.83E-11,-0.057817,-0.40642,-0.28738,-269.73,-114.15,2.8807,0.86753,8.33E-22,7.9051e-323,0.004838
0.09,-6.71E-06,2.4958,-1.1345,-1.03E-25,-4.9407e-321,6.60E-13,-0.074822,-0.41152,-0.29078,-269.73,-114.39,2.6437,0.39347,2.69E-22,7.9051e-323,0.0013769
0.1,-6.71E-06,2.4958,-1.1345,-2.94E-26,-4.9407e-321,4.43E-15,-0.062918,-0.40472,-0.26868,-271.86,-116.05,1.4585,-1.7398,8.58E-23,7.9051e-323,0.00039189
0.11,-6.71E-06,2.4958,-1.1345,-8.41E-27,-4.9407e-321,2.97E-17,-0.073121,-0.40132,-0.31119,-269.49,-112.97,2.8807,0.86753,2.70E-23,7.9051e-323,0.00011154
0.12,-6.71E-06,2.4958,-1.1345,-2.41E-27,-4.9407e-321,1.99E-19,-0.078222,-0.38091,-0.30949,-270.2,-113.91,3.1177,0.86753,8.45E-24,7.9051e-323,3.17E-05
0.13,-6.71E-06,2.4958,-1.1345,-6.91E-28,-4.9407e-321,1.34E-21,-0.064619,-0.40982,-0.28908,-270.68,-114.86,1.4585,-1.0287,2.62E-24,7.9051e-323,9.03E-06
0.14,-6.71E-06,2.4958,-1.1345,-1.98E-28,-4.9407e-321,8.98E-24,-0.073121,-0.39961,-0.30609,-269.97,-114.15,2.8807,0.15644,8.08E-25,7.9051e-323,2.57E-06
0.15,-6.71E-06,2.4958,-1.1345,-5.67E-29,-4.9407e-321,6.03E-26,-0.064619,-0.40812,-0.29759,-269.02,-112.49,3.5918,2.0527,2.48E-25,7.9051e-323,7.32E-07
0.16,-6.71E-06,2.4958,-1.1345,-1.62E-29,-4.9407e-321,4.05E-28,-0.064619,-0.40302,-0.30269,-268.78,-113.91,3.3548,0.86753,7.56E-26,7.9051e-323,2.08E-07
0.17,-6.71E-06,2.4958,-1.1345,-4.65E-30,-4.9407e-321,2.72E-30,-0.090126,-0.41662,-0.29248,-265.7,-108.22,7.1472,5.8452,2.30E-26,7.9051e-323,5.93E-08
0.18,-6.71E-06,2.4958,-1.1345,-1.33E-30,-4.9407e-321,1.82E-32,-0.079923,-0.39961,-0.28738,-269.73,-112.97,3.1177,1.5786,6.95E-27,7.9051e-323,1.69E-08
0.19,-6.71E-06,2.4958,-1.1345,-3.82E-31,-4.9407e-321,1.22E-34,-0.10543,-0.41492,-0.32309,-273.76,-118.89,-1.3858,-5.5323,2.10E-27,7.9051e-323,4.80E-09
0.2,-6.71E-06,2.4958,-1.1345,-1.09E-31,-4.9407e-321,8.21E-37,-0.074822,-0.39961,-0.31459,-268.31,-112.49,3.5918,1.5786,6.32E-28,7.9051e-323,1.37E-09
0.21,-6.71E-06,2.4958,-1.1345,-3.14E-32,-4.9407e-321,5.51E-39,-0.073121,-0.38941,-0.28738,-269.73,-114.39,2.4066,-0.08059,1.90E-28,7.9051e-323,3.89E-10
0.22,-6.71E-06,2.4958,-1.1345,-8.98E-33,-4.9407e-321,3.70E-41,-0.062918,-0.42172,-0.32309,-270.44,-114.15,2.8807,0.15644,5.68E-29,7.9051e-323,1.11E-10
0.23,-6.71E-06,2.4958,-1.1345,-2.57E-33,-4.9407e-321,2.48E-43,-0.078222,-0.39281,-0.29418,-268.31,-112.25,3.5918,1.1046,1.70E-29,7.9051e-323,3.15E-11
0.24,-6.71E-06,2.4958,-1.1345,-7.37E-34,-4.9407e-321,1.67E-45,-0.095227,-0.42852,-0.32989,-268.54,-112.49,3.8288,1.5786,5.06E-30,7.9051e-323,8.97E-12
0.25,-6.71E-06,2.4958,-1.1345,-2.11E-34,-4.9407e-321,1.12E-47,-0.081623,-0.37411,-0.28568,-269.73,-114.15,1.6956,-0.55465,1.51E-30,7.9051e-323,2.55E-12
0.26,-6.71E-06,2.4958,-1.1345,-6.05E-35,-4.9407e-321,7.50E-50,-0.061218,-0.42172,-0.28398,-268.07,-110.59,5.014,3.2378,4.47E-31,7.9051e-323,7.26E-13
0.27,-6.71E-06,2.4958,-1.1345,-1.73E-35,-4.9407e-321,0.0022059,-0.10373,-0.39451,-0.30609,-267.6,-110.36,5.9621,4.897,1.33E-31,7.9051e-323,0.15781
0.28,-6.71E-06,2.4958,-1.1345,-4.97E-36,-4.9407e-321,1.48E-05,-0.061218,-0.41492,-0.31799,-272.81,-117.23,0.27337,-2.2139,3.93E-32,7.9051e-323,-0.11183
0.29,-6.71E-06,2.4958,-1.1345,-1.42E-36,-4.9407e-321,9.94E-08,-0.083324,-0.42342,-0.31119,-268.31,-112.02,3.8288,2.0527,1.16E-32,7.9051e-323,-0.032881
0.3,-6.71E-06,2.4958,-1.1345,-4.08E-37,-4.9407e-321,6.67E-10,-0.066319,-0.39111,-0.29759,-270.2,-114.62,2.1696,0.15644,3.44E-33,7.9051e-323,-0.0093652
0.31,-6.71E-06,2.4958,-1.1345,-1.17E-37,-4.9407e-321,4.47E-12,-0.047614,-0.41322,-0.27548,-273.52,-118.65,-1.8599,-6.0063,1.02E-33,7.9051e-323,-0.0026655
0.32,-6.71E-06,2.4958,-1.1345,-3.35E-38,-4.9407e-321,0.00066071,-0.083324,-0.39451,-0.32139,-269.49,-114.15,3.1177,0.6305,3.00E-34,7.9051e-323,0.046508
0.33,-6.71E-06,2.4958,-1.1345,-9.59E-39,-4.9407e-321,4.43E-06,-0.059517,-0.41832,-0.31119,-269.02,-113.68,2.4066,0.6305,8.83E-35,7.9051e-323,-0.033713
0.34,-6.71E-06,2.4958,-1.1345,-2.75E-39,-4.9407e-321,2.98E-08,-0.040812,-0.38261,-0.26528,-270.68,-114.86,2.1696,-0.08059,2.60E-35,7.9051e-323,-0.00991
0.35,-6.71E-06,2.4958,-1.1345,-7.87E-40,-4.9407e-321,2.00E-10,-0.095227,-0.41662,-0.30609,-270.2,-114.39,1.6956,-0.31762,7.64E-36,7.9051e-323,-0.0028226
0.36,-6.71E-06,2.4958,-1.1345,-2.26E-40,-4.9407e-321,1.34E-12,-0.076522,-0.40132,-0.31969,-267.83,-111.31,5.014,2.7638,2.25E-36,7.9051e-323,-0.00080335
0.37,-6.71E-06,2.4958,-1.1345,-6.46E-41,-4.9407e-321,9.00E-15,-0.071421,-0.39791,-0.30609,-269.49,-114.62,1.9326,-0.79168,6.59E-37,7.9051e-323,-0.00022864
0.38,-6.71E-06,2.4958,-1.1345,-1.85E-41,-4.9407e-321,6.04E-17,-0.085024,-0.42342,-0.29589,-269.49,-114.15,3.3548,0.6305,1.93E-37,7.9051e-323,-6.51E-05
0.39,-6.71E-06,2.4958,-1.1345,-5.30E-42,-4.9407e-321,4.05E-19,-0.078222,-0.40982,-0.31799,-269.97,-114.15,2.4066,0.86753,5.67E-38,7.9051e-323,-1.85E-05
